,,participant_id,trial,center_dist_mean,edge_dist_mean,speed_mean,acceleration_mean,stops_count_mean,stops_duration_mean,max_distance_mean,rmssd,hr
845,7,845,7,1.977984627834899,0.8451615575127928,0.3140756478340319,0.35341335770220444,0.17647058823529413,0.7309294117647082,2.6789295404212456,"[ 25.81049822  23.51015255  17.26794192  12.82043823   9.10544293
  27.25191125  35.61409323  22.66274476  15.3030003   18.69046103
  24.27119505 118.83321646 115.00144927  26.34042866  25.49866307
  17.57270611  22.627417  ]","[73.37953526 74.62686567 76.17435463 77.02182285 76.89021786 77.50397456
 75.28230866 75.68807339 77.18696398 76.92307692 75.1565762  83.15565032
 85.82746479 77.45266781 75.56675063 73.62784471 75.72570467]"
478,7,478,7,2.0894347388300685,0.7931392977093196,0.2616243283776348,0.3500725157337186,0.9411764705882353,4.391135294117626,1.9058459774679566,"[ 19.00876991 129.47071741 140.76275731  28.09507667  28.65891368
  24.204259    26.7178995   27.20294102  31.64385143  29.29474045
  34.91287858  38.19566848  39.06916943  28.31254139  41.49917852
  36.53309002  24.19366308]","[84.96732026 85.30183727 85.53971487 85.30183727 85.52631579 87.42714405
 87.13692946 83.79888268 78.75605816 77.61966365 76.98887938 75.53503987
 72.30499562 71.27429806 72.72727273 78.72426322 83.01404853]"
578,7,578,7,1.99030370902093,0.8480998279543505,0.3489671549433947,0.1994884228211829,0.058823529411764705,0.15337058823529467,2.4763507369586004,"[23.32380758 16.79826831 14.4222051  20.85447412 32.63015894 17.52712184
 21.87235698 21.26884191 13.69804233 14.82013373  8.6969169  14.52270949
 16.92765355 12.98950625 10.27618606 14.01298099 16.448266  ]","[73.99103139 76.89021786 75.91733446 76.69365147 74.50331126 74.05745063
 72.30499562 73.98273736 78.29491083 77.45266781 76.89021786 77.05479452
 75.66204288 74.84407484 74.96592458 75.98142676 75.6302521 ]"
352,7,352,7,2.1192585942026874,0.765681216583753,0.32652541359011833,0.2419986871013194,0.5882352941176471,3.0997470588235285,2.265173048004178,"[178.02471738 145.4372717  241.0168933  244.72024845  27.68655729
 111.13300794 104.87452821  23.86070689  30.34348814 122.42222021
 174.24580339  52.74845969 185.82572481 110.08756845  75.91574277
 186.8368272  200.27365893]","[ 99.70918155 100.85163604  94.33962264  81.69250105  77.02182285
  78.29491083  80.01641362  80.71192053  78.26086957  74.25742574
  72.75132275  70.60333761  73.92473118  75.          70.06369427
  80.31301483  86.49093904]"
401,7,401,7,2.1192585942026874,0.765681216583753,0.32652541359011833,0.2419986871013194,0.5882352941176471,3.0997470588235285,2.265173048004178,"[178.02471738 145.4372717  241.0168933  244.72024845  27.68655729
 111.13300794 104.87452821  23.86070689  30.34348814 122.42222021
 174.24580339  52.74845969 185.82572481 110.08756845  75.91574277
 186.8368272  200.27365893]","[ 99.70918155 100.85163604  94.33962264  81.69250105  77.02182285
  78.29491083  80.01641362  80.71192053  78.26086957  74.25742574
  72.75132275  70.60333761  73.92473118  75.          70.06369427
  80.31301483  86.49093904]"
2,7,2,7,2.3747850755781696,0.9366993293116178,0.5115261202141858,0.3805054749279523,0.23529411764705882,0.7659588235294149,3.878624865234874,"[ 20.19900988  16.7882743   42.56397899  54.190547    31.45693026
 140.7102861  140.56213674 164.81504786 124.08599169 133.49799356
 137.97658664  19.28730152  18.51125784  16.93123347  91.66494171
  92.30717949  19.75231243]","[ 85.48882069  87.42714405  90.94846254  89.5140665   92.06488382
  90.09009009  92.13759214 103.03030303  95.57945042  93.43853821
  88.83248731  81.25        81.96721311  83.33333333  92.38891333
  91.90371991  85.05467801]"
845,15,845,15,2.513571733346919,0.7153871672897664,0.21401668192429982,0.26021140623125066,0.4117647058823529,1.1231941176470575,1.6274568814082713,"[26.2297541  14.67217527 20.78460969 26.02562839 26.38181192 26.09075071
 25.23489647 16.1807967  20.78460969 21.77571625 16.04161255 22.18107301
 46.18224767 27.0998155  14.23610434 21.74600857 25.36138797]","[74.90636704 76.92307692 79.78723404 79.85257985 79.36507937 76.75906183
 74.25742574 75.09386733 75.37688442 76.36826474 77.65830346 79.36507937
 75.65337001 69.41522928 69.86492781 69.47660954 69.67905405]"
478,15,478,15,2.348041572258179,0.813432690599197,0.3851798046059213,0.43997106810681474,0.058823529411764705,0.3126470588235326,2.719056123328057,"[191.5411183   73.66332679  13.35894975  19.18332609  15.89249598
 116.34431658 138.09727421  84.27845005  31.4960315  100.40533237
 156.70059643 146.11691841  21.02013687  27.31018407  26.01774542
  15.53160549 253.71900468]","[85.56384379 89.35663225 89.13412564 90.90909091 91.05625253 88.794926
 93.24492333 93.28358209 87.17310087 88.12421318 88.60759494 88.794926
 87.86610879 86.59793814 87.31808732 87.93969849 82.76740238]"
578,15,578,15,2.208114738808953,0.5297465470578604,0.16918391312388906,0.15060398763232777,0.29411764705882354,1.449699999999987,0.7959087912986074,"[ 18.28660712 167.23201085 167.77474076  20.89976076  44.84640454
  55.91422002  32.24903099  43.49201715 159.14316025 198.28354353
  30.91336869 172.24788339 147.20177865 151.88943347  16.8846353
  14.57270175  24.85155931]","[70.7243892  80.60904613 80.9352518  70.24265645 70.03395586 65.84197925
 65.53079948 65.90509666 74.28807264 79.54043305 72.66855067 80.18092105
 75.75757576 72.30499562 73.7704918  74.87520799 73.13829787]"
352,15,352,15,2.1005251436657053,0.7096678572485163,0.32632392958945433,0.4299192867694748,0.29411764705882354,0.6636411764705853,2.098638927640167,"[236.07394835 186.38767029 178.16500563 226.28504828 198.20528079
 192.63037543 128.65218465 235.03655422 496.1390934  170.16630521
 203.28986505 216.60314651 231.49015596 206.08736012 195.28099413
 177.7676386  212.17989465]","[76.56316461 81.15419297 88.42105263 90.20618557 83.58336905 84.71157725
 84.10092111 75.72570467 66.86478455 92.74525969 88.42105263 89.7819581
 87.8293601  81.76100629 83.7628866  86.55126498 84.5410628 ]"
401,15,401,15,2.1005251436657053,0.7096678572485163,0.32632392958945433,0.4299192867694748,0.29411764705882354,0.6636411764705853,2.098638927640167,"[236.07394835 186.38767029 178.16500563 226.28504828 198.20528079
 192.63037543 128.65218465 235.03655422 496.1390934  170.16630521
 203.28986505 216.60314651 231.49015596 206.08736012 195.28099413
 177.7676386  212.17989465]","[76.56316461 81.15419297 88.42105263 90.20618557 83.58336905 84.71157725
 84.10092111 75.72570467 66.86478455 92.74525969 88.42105263 89.7819581
 87.8293601  81.76100629 83.7628866  86.55126498 84.5410628 ]"
2,15,2,15,2.32029970034545,1.121224916311705,0.2825399372978696,0.2187082565221449,0.17647058823529413,0.6431941176470592,1.8871945877138605,"[ 59.3295879   89.88246293  19.73153145  26.7869084  460.61764554
 617.22854513 401.21814515 150.36440585 159.46410254 185.50831069
 191.14915642  93.39317809 160.21523984 136.23900567 172.58933027
 217.20461817 281.77618455]","[ 94.06354515  90.18036072  84.59869848  87.20930233  91.78321678
  85.78431373  78.37620579  76.69365147  74.02422611  82.73228681
 101.23064708  97.27626459  90.90909091  96.85230024  89.93576017
  88.27238335  74.56503728]"
